Designator,Mid X,Mid Y,Rotation,Layer
U1,43.65,30.2,0.0,top
J1,6.155,20.2,-90.0,top
U3,33.25,8.58,180.0,top
J2,70.225,25.2,0.0,top
JP1,71.55,5.64,0.0,top
F1,12.925,25.2,0.0,bottom
D6,11.225,13.0,-90.0,bottom
D4,11.225,18.05,90.0,bottom
C1,3.5,10.5,0.0,bottom
R11,22.75,17.5,180.0,bottom
Q2,64.4,19.1,0.0,bottom
R5,34.8,13.475,-90.0,bottom
SW2,66.0,2.75,180.0,bottom
L2,38.95,25.65,0.0,bottom
D2,18.75,22.15,0.0,bottom
BZ1,54.8,28.7,0.0,bottom
C12,37.775,28.4,0.0,bottom
C13,28.925,28.425,180.0,bottom
R2,2.5,18.2,180.0,bottom
C15,29.2,24.6,180.0,bottom
U2,21.675,29.875,-90.0,bottom
R16,56.9,29.7,90.0,bottom
L1,46.8,29.7,0.0,bottom
C3,50.675,29.6,0.0,bottom
U5,33.05,27.55,180.0,bottom
C6,36.525,13.45,90.0,bottom
SW3,66.5,11.0,90.0,bottom
C2,41.825,28.675,-90.0,bottom
SW4,24.0,11.0,180.0,bottom
R8,51.25,3.2,0.0,bottom
SW1,41.0,3.5,0.0,bottom
R12,61.425,19.0,90.0,bottom
R14,59.325,8.775,-90.0,bottom
R1,29.1,15.0,180.0,bottom
D5,62.7,15.025,-90.0,bottom
C4,24.175,24.6,0.0,bottom
C11,60.9,8.75,-90.0,bottom
R6,13.2,21.4,0.0,bottom
R4,19.8,26.75,0.0,bottom
R3,2.5,15.225,180.0,bottom
R15,25.6,21.05,90.0,bottom
D7,35.1,17.775,180.0,bottom
C5,25.225,29.075,-90.0,bottom
Q1,68.5,17.25,-90.0,bottom
R9,22.775,20.125,0.0,bottom
D3,18.75,20.25,0.0,bottom
C10,22.75,15.75,0.0,bottom
R10,68.5,20.0,180.0,bottom
R7,51.25,4.75,180.0,bottom
C14,61.75,23.225,0.0,bottom
C8,35.075,20.225,0.0,bottom
C7,35.1,22.6,0.0,bottom
R13,60.9,12.25,-90.0,bottom
U4,62.6925,28.325,-90.0,bottom
C9,51.225,1.625,0.0,bottom
