Comment,Designator,Footprint,LCSC
"100nF","C1,C2,C4,C7,C10,C12,C13","00_project_footprints:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"1uF","C3","00_project_footprints:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"100uF","C5,C6","00_project_footprints:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C15008"
"22uF","C8,C9,C11,C14,C15","00_project_footprints:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C5672"
"1N5819WS","D1","00_project_footprints:D_SOD-323_HandSoldering","C191023"
"BLUE","D2","00_project_footprints:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C189307"
"BV03C","D3","00_project_footprints:D_SOD-323_HandSoldering","C51125"
"RED","D4","00_project_footprints:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C138549"
"nSMD075","F1","00_project_footprints:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C70078"
"GZ2012D601TF","L1,L2","00_project_footprints:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1017"
"AO3401A","Q1","00_project_footprints:SOT-23_Handsoldering","C15127"
"2N7002","Q2","00_project_footprints:SOT-23_Handsoldering","C8545"
"2K7","R1,R5","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17530"
"5K1 1%","R11,R13","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C27834"
"2K","R16","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17604"
"10K","R2,R3,R4,R7,R8,R9,R10,R12","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17724"
"2K2","R6,R14,R15","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17520"
"TLV75533PDBV","U3","00_project_footprints:SOT-23-5_HandSoldering","C404027"
"74HC240PWR","U4","00_project_footprints:SSOP-20_4.4x6.5mm_P0.65mm","C470968"
"MCP73831-2-OT","U5","00_project_footprints:SOT-23-5_HandSoldering","C424093"
